Key,Translation,Version,Comment (context for translators)
objects.furniture.sculpturelimestone,彫刻 (石灰岩),,
objects.furniture.sculpturelimestone_simple,簡素な彫刻 (石灰岩),,
objects.furniture.sculpturelimestone_plain,単純な彫刻 (石灰岩),,
objects.furniture.sculpturelimestone_intricate,複雑な彫刻 (石灰岩),,
objects.furniture.sculpturelimestone_masterwork,傑作級の彫刻 (石灰岩),,
objects.furniture.sculpturehardwood,彫刻 (硬い木),,
objects.furniture.sculpturehardwood_simple,簡素な彫刻 (硬い木),,
objects.furniture.sculpturehardwood_plain,単純な彫刻 (硬い木),,
objects.furniture.sculpturehardwood_intricate,複雑な彫刻 (硬い木),,
objects.furniture.sculpturehardwood_masterwork,傑作級の彫刻 (硬い木),,
objects.furniture.sculpturelimestone.desc,"彫刻を石灰岩で創る。 鉄の台座付き",,
objects.furniture.sculpturelimestone_simple.desc,"簡素なデザインの彫刻を石灰岩で創る。 鉄の台座付き",,
objects.furniture.sculpturelimestone_plain.desc,"単純なデザインの彫刻を石灰岩で創る。 鉄の台座付き",,
objects.furniture.sculpturelimestone_intricate.desc,"複雑なデザインの彫刻を石灰岩で創る。 鉄の台座付き",,
objects.furniture.sculpturelimestone_masterwork.desc,"傑作的なデザインの彫刻を石灰岩で創る。 鉄の台座付き",,
objects.furniture.sculpturehardwood.desc,"彫刻を硬い木で創る。 鉄の台座付き",,
objects.furniture.sculpturehardwood_simple.desc,"簡素なデザインの彫刻を硬い木で創る。 鉄の台座付き",,
objects.furniture.sculpturehardwood_plain.desc,"単純なデザインの彫刻を硬い木で創る。 鉄の台座付き",,
objects.furniture.sculpturehardwood_intricate.desc,"複雑なデザインの彫刻を硬い木で創る。 鉄の台座付き",,
objects.furniture.sculpturehardwood_masterwork.desc,"傑作的なデザインの彫刻を硬い木で創る。 鉄の台座付き",,
obj.materials.sculpturelimestone,彫刻 (石灰岩),,
obj.materials.sculpturehardwood,彫刻 (硬い木),,
obj.materials.sculpturelimestone.desc,"石灰岩の彫刻",,
obj.materials.sculpturehardwood.desc,"硬い木の彫刻",,
obj.materials.sculpturelimestone_simple,簡素な彫刻 (石灰岩),,
obj.materials.sculpturelimestone_plain,単純な彫刻 (石灰岩),,
obj.materials.sculpturelimestone_intricate,複雑な彫刻 (石灰岩),,
obj.materials.sculpturelimestone_masterwork,傑作級の彫刻 (石灰岩),,
obj.materials.sculpturehardwood_simple,簡素な彫刻 (硬い木),,
obj.materials.sculpturehardwood_plain,単純な彫刻 (硬い木),,
obj.materials.sculpturehardwood_intricate,複雑な彫刻 (硬い木),,
obj.materials.sculpturehardwood_masterwork,傑作級の彫刻 (硬い木),,
obj.materials.sculpturelimestone_simple.desc,"簡素な彫刻, 石灰岩製",,
obj.materials.sculpturelimestone_plain.desc,"単純な彫刻, 石灰岩製",,
obj.materials.sculpturelimestone_intricate.desc,"複雑な彫刻, 石灰岩製",,
obj.materials.sculpturelimestone_masterwork.desc,"傑作級の彫刻, 石灰岩製",,
obj.materials.sculpturehardwood_simple.desc,"簡素な彫刻, 硬木製",,
obj.materials.sculpturehardwood_plain.desc,"単純な彫刻, 硬木製",,
obj.materials.sculpturehardwood_intricate.desc,"複雑な彫刻, 硬木製",,
obj.materials.sculpturehardwood_masterwork.desc,"傑作級の彫刻, 硬木製",,
obj.materials.hardwood,硬い木,,
obj.materials.limestone,石灰岩,,
obj.materials.hardwood.desc,"高品質な硬い木の丸太。 彫刻に最適",,
obj.materials.limestone.desc,"高品質な石灰岩の塊。 彫刻に最適",,
objects.devices.sculptingbench,彫刻作業台,,
objects.devices.sculptingbench.desc,"彫刻を作るための作業台",,
sculpting.now,彫刻中 {0},,
sculpt,"彫る",,
skill.Artistic,芸術,,
research.sculpting,彫刻,,
research.sculpting.desc,"彫刻作品は、さまざまな材料から彫刻することができ、あらゆる空間を明るくする。",,
sculptures.created_art,"芸術作品",,
sculpting.slots,彫刻スロット,,
sculpting.adrejected.lackequipment,彫刻設備が不足しています,,
sculpturebench.warn_if_storage_full,保管場所がない時は警告,,
sculpturebench.storage_full,隣接する収納庫がいっぱい,,
sculpturebench.storage_full_notif,{1}ための {0} 周りに空きがありません,,
creator.title,{0}で創る,,
creator.creators,製作者リスト,,
creator.names.multiple,複数の作者,,
creator.unknown,作者不明,,
sculptures.quality.simple,簡素,,
sculptures.quality.plain,単純,,
sculptures.quality.intricate,複雑,,
sculptures.quality.masterwork,傑作,,
sculptures.created.sculpture,彫刻を創る,,
trait.creative,創造する,,
trait.creative.about,創造的な人は、面白いアイデアを思いつく才能があります。彼らはしばしば芸術的な衝動に駆られ、芸術活動に没頭する傾向があります。,,
