Key,Translation,Version,Comment (context for translators)
drink.tea,紅茶を飲む,,
material.Tea,紅茶,,
material.TeaLeaves,紅茶の葉,,
beverage.drink,飲料を飲む,,
beverage.lack,"{0}",,
beverage.lack.morning,"{0}",,
beverage.drank,"{0}",,
beverage.addict,"{0}",,
obj.materials.tea,紅茶,,
obj.materials.tea.desc,"紅茶、アールグレイ、ホット。職務に従事するのを助けます。",,
obj.materials.tealeaves,紅茶の葉,,
obj.materials.tealeaves.desc,"紅茶として淹ることが可能",,
obj.plants.teabush,茶の木,,
obj.plants.teabush.desc,"ツバキ科シネンシスの茂み。小さな葉と芽を収穫して、心落ち着く紅茶を飲みましょう。",,
objects.devices.coffeemaker,飲料用機器,,
objects.devices.coffeemaker.desc,"数種類の飲み物を淹れることができます。",,
research.coffee,飲み物,,
trait.beverage_addict_coffee,コーヒー中毒者,,
trait.beverage_addict_tea,紅茶中毒者,,
obj.upgrades.brewingautomationupgrade,ドリンク製造自動化アップグレード,,
obj.upgrades.brewingautomationupgrade.desc,ドリンクメーカーがオペレーターなしで飲料を自動生成することができます。,,
objects.devices.beveragemaker,ドリンクメーカー,,
objects.devices.beveragemaker.desc,"数種類の飲み物を淹れることができます。",,
research.beverages,ドリンク,,
